epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3401,0.6344,2.74643,1.30906,0.00337,1,0.54127,0.38971,0.30099,3.41844,0.48062,0.00025005,0.00025005,0.00025005
2,64.0788,0.29465,1.8748,1.04574,0.00346,1,0.61733,0.49549,0.64135,3.5281,0.83364,0.000506538,0.000506538,0.000506538
3,95.3728,0.27785,1.28446,1.02631,0.61657,0.20416,0.38074,0.17691,2.70125,4.07518,2.98513,0.000752464,0.000752464,0.000752464
4,126.681,0.28342,1.05431,0.99275,0.10212,0.1875,0.07564,0.0217,3.31709,6.06418,3.23178,0.000987828,0.000987828,0.000987828
5,157.723,0.26886,0.97562,1.00613,0.79151,0.58651,0.84407,0.69598,0.5285,2.2995,0.71279,0.00121263,0.00121263,0.00121263
6,188.637,0.29062,0.9388,1.00692,0.79582,0.87998,0.95133,0.68196,0.65348,2.10371,0.83111,0.00142687,0.00142687,0.00142687
7,219.75,0.26788,0.86231,1.0099,0.44372,0.83222,0.79075,0.37286,1.17501,4.51562,1.09139,0.00146896,0.00146896,0.00146896
8,250.374,0.27221,0.82645,0.9817,0.73803,0.76197,0.79626,0.49152,1.01436,2.60553,1.00133,0.00143595,0.00143595,0.00143595
9,280.771,0.22873,0.77322,0.94363,0.96111,0.95027,0.9817,0.89428,0.52987,1.4774,0.75703,0.00140295,0.00140295,0.00140295
10,311.317,0.25114,0.7952,0.96839,0.8921,0.9375,0.94603,0.79456,0.58783,1.65959,0.93432,0.00136994,0.00136994,0.00136994
11,341.707,0.23913,0.75373,0.97639,0.85552,0.99714,0.99147,0.9478,0.26197,1.65469,0.41297,0.00133693,0.00133693,0.00133693
12,371.876,0.22575,0.69235,0.93862,0.96542,1,0.995,0.98171,0.23615,0.90709,0.40225,0.00130393,0.00130393,0.00130393
