epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3681,0.46664,2.91002,1.19664,0.00337,1,0.42779,0.37418,0.39907,3.63717,0.67047,0.0003875,0.0003875,0.0003875
2,122.977,0.26283,2.00611,1.01443,0.68601,0.14062,0.26055,0.1079,2.38138,4.64761,2.09513,0.000771908,0.000771908,0.000771908
3,184.782,0.24899,1.7081,0.99637,0.18077,0.4375,0.25871,0.1704,1.31693,4.98675,1.04981,0.00114047,0.00114047,0.00114047
4,245.452,0.24777,1.54509,1.00558,0.35835,0.49312,0.38948,0.21367,1.46161,6.48686,1.41227,0.00117575,0.00117575,0.00117575
5,304.159,0.21431,1.41302,0.95539,0.6146,0.75557,0.70404,0.62408,0.48143,2.44023,0.70567,0.001151,0.001151,0.001151
6,363.278,0.24681,1.39026,0.98553,0.53227,0.87411,0.67127,0.54533,0.62984,2.44254,0.83982,0.00112625,0.00112625,0.00112625
7,423.139,0.21069,1.25911,0.94578,0.62469,0.93616,0.81301,0.79986,0.22984,1.91825,0.35565,0.0011015,0.0011015,0.0011015
8,483.216,0.20191,1.22125,0.94651,0.74431,0.68405,0.7459,0.66556,0.43592,2.09538,0.54755,0.00107675,0.00107675,0.00107675
9,543.253,0.18599,1.11776,0.93652,0.64674,0.84375,0.73861,0.70006,0.26638,1.75744,0.41634,0.001052,0.001052,0.001052
10,601.511,0.17362,1.04736,0.92497,0.70493,0.90109,0.90167,0.88633,0.23359,1.48977,0.36278,0.00102725,0.00102725,0.00102725
11,657.214,0.17457,1.00662,0.92815,0.81243,0.87338,0.93368,0.88045,0.30223,1.25331,0.41334,0.0010025,0.0010025,0.0010025
12,712.517,0.15729,0.93674,0.93381,0.81779,0.8999,0.93305,0.92691,0.26048,1.23395,0.4145,0.00097775,0.00097775,0.00097775
13,767.643,0.15987,0.94246,0.91921,0.75605,0.89062,0.91757,0.91439,0.17247,1.18776,0.27767,0.000953,0.000953,0.000953
14,823.07,0.1502,0.96266,0.9374,0.90258,0.90742,0.94085,0.93615,0.2999,1.09997,0.42534,0.00092825,0.00092825,0.00092825
15,878.169,0.1495,0.89625,0.92511,0.8457,0.92124,0.94695,0.91165,0.3218,1.21273,0.46309,0.0009035,0.0009035,0.0009035
