epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3108,0.12085,2.54115,0.90928,0.75337,0.46491,0.7647,0.74093,0.34275,3.06923,0.47691,0.000361075,0.000361075,0.000361075
2,140.222,0.1292,1.58889,0.92265,0.4774,0.85417,0.79297,0.75651,0.28151,2.53528,0.34406,0.00071934,0.00071934,0.00071934
3,218.187,0.14687,1.42126,0.9409,0.56919,0.8125,0.75207,0.63573,0.31538,3.50855,0.39,0.00106538,0.00106538,0.00106538
4,297.169,0.16007,1.25117,0.9269,0.78635,0.8867,0.92923,0.84652,0.36328,2.00578,0.51335,0.00105601,0.00105601,0.00105601
5,376.273,0.15533,1.21007,0.92152,0.76891,0.90224,0.93333,0.91598,0.25856,1.58014,0.39503,0.00103767,0.00103767,0.00103767
6,455.121,0.14561,1.13361,0.92906,0.62327,0.7877,0.84458,0.8413,0.24957,1.76727,0.3825,0.00101934,0.00101934,0.00101934
7,534.634,0.14635,1.14276,0.93024,0.44895,0.86106,0.68536,0.64551,0.32883,2.1474,0.43905,0.00100101,0.00100101,0.00100101
8,605.209,0.14721,1.08268,0.91755,0.87555,0.84283,0.9164,0.89576,0.27359,1.42769,0.37877,0.000982679,0.000982679,0.000982679
9,671.155,0.13874,1.01005,0.92397,0.72227,0.81689,0.88639,0.85778,0.20797,1.59004,0.30566,0.000964348,0.000964348,0.000964348
10,744.583,0.14134,0.96075,0.91913,0.74404,0.90324,0.95012,0.90369,0.26951,1.3567,0.37224,0.000946016,0.000946016,0.000946016
11,820.796,0.12784,0.90232,0.91918,0.72554,0.84091,0.921,0.91768,0.17443,1.54117,0.26775,0.000927685,0.000927685,0.000927685
12,898.775,0.1241,0.86911,0.90425,0.87292,0.85751,0.93573,0.93573,0.18661,1.11735,0.29007,0.000909353,0.000909353,0.000909353
13,975.93,0.12603,0.92655,0.92144,0.85483,0.89758,0.94737,0.94737,0.1604,1.11565,0.23309,0.000891022,0.000891022,0.000891022
14,1052.51,0.11818,0.93534,0.91851,0.90234,0.91141,0.94272,0.93878,0.22619,1.14228,0.3076,0.000872691,0.000872691,0.000872691
15,1128.55,0.11496,0.85303,0.90467,0.89285,0.8536,0.93171,0.91875,0.21318,1.33859,0.30109,0.000854359,0.000854359,0.000854359
16,1204.43,0.11559,0.82912,0.91816,0.85163,0.94239,0.94833,0.94177,0.2488,0.91334,0.34975,0.000836027,0.000836027,0.000836027
17,1280.92,0.11054,0.7833,0.90537,0.87144,0.88132,0.94697,0.94072,0.2253,1.07848,0.32074,0.000817696,0.000817696,0.000817696
18,1357.73,0.11065,0.73009,0.88257,0.9051,0.90169,0.95618,0.95132,0.24047,1.03436,0.34943,0.000799365,0.000799365,0.000799365
19,1435.57,0.10455,0.7708,0.89951,0.87002,0.94357,0.96322,0.90658,0.28764,1.07445,0.39472,0.000781033,0.000781033,0.000781033
20,1512.16,0.10466,0.76335,0.90591,0.88585,0.95458,0.96512,0.94092,0.25423,0.90124,0.33967,0.000762702,0.000762702,0.000762702
21,1589.13,0.11277,0.72779,0.9181,0.92849,0.93229,0.96701,0.95617,0.19801,0.87084,0.28442,0.00074437,0.00074437,0.00074437
