epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6443,1.00741,2.56517,1.54737,0.00333,1,0.09167,0.03312,0.71907,3.20317,0.96513,6e-05,6e-05,6e-05
2,132.149,0.56154,2.37176,1.26899,0.00333,1,0.72525,0.40261,0.28139,3.0926,0.50815,0.000137228,0.000137228,0.000137228
3,175.163,0.29362,1.90521,1.05985,0.00271,0.8125,0.46642,0.09613,2.22851,3.78295,2.17129,0.000211288,0.000211288,0.000211288
4,216.326,0.27917,1.35607,1.06535,0.00313,0.9375,0.47166,0.05208,3.39582,3.81318,4.106,0.00028218,0.00028218,0.00028218
5,257.356,0.24596,0.96087,1.0223,0.00333,1,0.56802,0.07253,3.24771,3.81543,3.75187,0.000349904,0.000349904,0.000349904
6,298.205,0.23583,0.89202,0.99139,0.00292,0.875,0.5768,0.10987,2.98616,3.87693,3.4219,0.00041446,0.00041446,0.00041446
7,338.936,0.23116,0.81274,0.98939,0.45064,0.8125,0.55071,0.09617,3.04394,3.96684,3.28622,0.000475848,0.000475848,0.000475848
8,379.287,0.19699,0.69042,0.97894,0.53955,0.58673,0.43536,0.1214,2.92999,3.5656,2.65935,0.000534068,0.000534068,0.000534068
9,422.581,0.21828,0.6931,0.968,0.3882,0.3125,0.27599,0.04422,3.41044,4.12047,3.07143,0.00058912,0.00058912,0.00058912
10,463.891,0.20777,0.73368,0.96641,0.59539,0.7363,0.60461,0.21999,2.07081,3.32101,2.28455,0.000641004,0.000641004,0.000641004
11,504.932,0.22913,0.68544,0.98882,0.88698,1,0.98794,0.85455,0.38242,2.20606,0.59011,0.00068972,0.00068972,0.00068972
12,546.277,0.20633,0.63604,0.98167,0.53285,1,0.86584,0.43662,0.92971,4.65584,1.09802,0.000735268,0.000735268,0.000735268
13,586.74,0.22405,0.62179,0.9369,0.84581,0.875,0.88195,0.4567,1.20524,3.62023,1.18161,0.000777648,0.000777648,0.000777648
14,627.866,0.21136,0.61192,0.96853,0.77163,0.84562,0.83204,0.40912,1.48085,3.70677,1.32406,0.00081686,0.00081686,0.00081686
15,668.523,0.21036,0.59481,0.9601,0.9316,1,0.96559,0.87159,0.44268,1.80979,0.54115,0.000852904,0.000852904,0.000852904
16,708.843,0.20173,0.60933,0.95452,0.99738,1,0.995,0.995,0.30243,1.46591,0.4759,0.00088578,0.00088578,0.00088578
17,748.978,0.20126,0.60787,0.9313,0.99712,1,0.995,0.98782,0.26269,1.23945,0.40232,0.000915488,0.000915488,0.000915488
18,789.078,0.1973,0.58361,0.92644,1,0.9972,0.995,0.89961,0.47516,1.31017,0.69403,0.000942028,0.000942028,0.000942028
19,837.24,0.1999,0.59631,0.93693,0.97639,1,0.995,0.7496,0.70339,1.33363,0.9825,0.0009654,0.0009654,0.0009654
20,878.921,0.20597,0.56471,0.94131,0.97687,1,0.995,0.70222,0.86868,1.62317,1.15828,0.000985604,0.000985604,0.000985604
21,919.498,0.20847,0.5586,0.95542,1,0.99359,0.995,0.68411,0.8562,1.35493,1.26023,0.00100264,0.00100264,0.00100264
22,959.337,0.23915,0.61479,0.99098,0.93631,1,0.98794,0.8745,0.46633,1.12455,0.69004,0.00101651,0.00101651,0.00101651
23,999.153,0.25511,0.62893,0.95888,0.98275,1,0.995,0.93058,0.37381,0.91873,0.62601,0.00102721,0.00102721,0.00102721
24,1039.07,0.19972,0.53069,0.94318,0.98026,1,0.995,0.96725,0.27626,0.91276,0.43377,0.00103474,0.00103474,0.00103474
25,1081.97,0.19463,0.52083,0.93431,0.996,1,0.995,0.995,0.17733,0.70108,0.30781,0.0010391,0.0010391,0.0010391
26,1129.38,0.19587,0.53509,0.96192,0.99693,1,0.995,0.995,0.1791,0.65998,0.29997,0.00101,0.00101,0.00101
