epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8715,0,120.57,0,0,0,0,0,0,129.814,0,6e-05,6e-05,6e-05
2,26.9988,0,117.37,0,0,0,0,0,0,129.979,0,0.000137228,0.000137228,0.000137228
3,39.4982,0,113.705,0,0,0,0,0,0,130.812,0,0.000211288,0.000211288,0.000211288
4,52.6279,0,107.713,0,0,0,0,0,0,132.004,0,0.00028218,0.00028218,0.00028218
5,65.9912,0,99.8765,0,0,0,0,0,0,132.25,0,0.000349904,0.000349904,0.000349904
6,79.3333,0,94.2767,0,0,0,0,0,0,130.685,0,0.00041446,0.00041446,0.00041446
7,92.3332,0,92.3208,0,0,0,0,0,0,124.475,0,0.000475848,0.000475848,0.000475848
8,105.289,0,85.9256,0,0,0,0,0,0,120.636,0,0.000534068,0.000534068,0.000534068
9,118.647,0,81.4879,0,0,0,0,0,0,112.917,0,0.00058912,0.00058912,0.00058912
10,131.8,0,80.1558,0,0,0,0,0,0,107.325,0,0.000641004,0.000641004,0.000641004
11,144.825,0,78.6627,0,0,0,0,0,0,100.088,0,0.00068972,0.00068972,0.00068972
12,157.879,0,75.4477,0,0,0,0,0,0,93.8824,0,0.000735268,0.000735268,0.000735268
13,170.834,0,72.2407,0,0,0,0,0,0,123.881,0,0.000777648,0.000777648,0.000777648
14,184.799,0,71.9952,0,0,0,0,0,0,2914.92,0,0.00081686,0.00081686,0.00081686
15,198.732,0,70.5919,0,0,0,0,0,0,855.598,0,0.000852904,0.000852904,0.000852904
16,212.263,0,73.0239,0,0,0,0,0,0,5720.14,0,0.00088578,0.00088578,0.00088578
17,225.983,0,68.9964,0,0,0,0,0,0,11861.7,0,0.000915488,0.000915488,0.000915488
18,239.473,0,66.9679,0,0,0,0,0,0,95718.9,0,0.000942028,0.000942028,0.000942028
19,253.598,0,65.7259,0,0,0,0,0,0,111573,0,0.0009654,0.0009654,0.0009654
20,267.2,0,64.2305,0,0,0,0,0,0,22580.2,0,0.000985604,0.000985604,0.000985604
21,280.08,0,64.8627,0,0,0,0,0,0,63.8742,0,0.00100264,0.00100264,0.00100264
22,293.158,0,62.316,0,0,0,0,0,0,69.2805,0,0.00101651,0.00101651,0.00101651
23,305.624,0,61.5117,0,0,0,0,0,0,62.4058,0,0.00102721,0.00102721,0.00102721
24,317.688,0,60.6619,0,0,0,0,0,0,330.882,0,0.00103474,0.00103474,0.00103474
25,329.955,0,60.2168,0,0,0,0,0,0,683.107,0,0.0010391,0.0010391,0.0010391
26,342.036,0,59.1038,0,0,0,0,0,0,50.4886,0,0.00101,0.00101,0.00101
27,354.434,0,57.905,0,0,0,0,0,0,4358.69,0,0.0009704,0.0009704,0.0009704
28,366.709,0,56.7278,0,0,0,0,0,0,411895,0,0.0009308,0.0009308,0.0009308
29,378.787,0,56.5276,0,0,0,0,0,0,47.6491,0,0.0008912,0.0008912,0.0008912
30,391.182,0,60.0759,0,0,0,0,0,0,53.0665,0,0.0008516,0.0008516,0.0008516
31,403.643,0,54.93,0,0,0,0,0,0,78.5876,0,0.000812,0.000812,0.000812
32,416.19,0,54.4498,0,0,0,0,0,0,72.1248,0,0.0007724,0.0007724,0.0007724
33,428.467,0,53.9361,0,0,0,0,0,0,45.5198,0,0.0007328,0.0007328,0.0007328
34,440.827,0,53.4161,0,0,0,0,0,0,47.3666,0,0.0006932,0.0006932,0.0006932
35,453.363,0,52.6731,0,0,0,0,0,0,49.8395,0,0.0006536,0.0006536,0.0006536
36,465.828,0,51.6883,0,0,0,0,0,0,51.2547,0,0.000614,0.000614,0.000614
37,478.388,0,50.9128,0,0,0,0,0,0,50.3535,0,0.0005744,0.0005744,0.0005744
38,490.685,0,50.5322,0,0,0,0,0,0,50.5951,0,0.0005348,0.0005348,0.0005348
39,503.265,0,49.8478,0,0,0,0,0,0,50.6763,0,0.0004952,0.0004952,0.0004952
40,515.635,0,49.5509,0,0,0,0,0,0,50.8678,0,0.0004556,0.0004556,0.0004556
41,528.079,0,49.392,0,0,0,0,0,0,50.9619,0,0.000416,0.000416,0.000416
42,540.87,0,48.9281,0,0,0,0,0,0,50.9846,0,0.0003764,0.0003764,0.0003764
43,553.944,0,48.4935,0,0,0,0,0,0,51.0611,0,0.0003368,0.0003368,0.0003368
44,567.156,0,48.2436,0,0,0,0,0,0,51.2812,0,0.0002972,0.0002972,0.0002972
45,579.705,0,48.2183,0,0,0,0,0,0,51.4059,0,0.0002576,0.0002576,0.0002576
46,592.024,0,48.3181,0,0,0,0,0,0,51.5599,0,0.000218,0.000218,0.000218
47,604.279,0,47.6727,0,0,0,0,0,0,51.5403,0,0.0001784,0.0001784,0.0001784
48,616.426,0,47.5343,0,0,0,0,0,0,51.6021,0,0.0001388,0.0001388,0.0001388
49,629.063,0,47.4518,0,0,0,0,0,0,51.6794,0,9.92e-05,9.92e-05,9.92e-05
50,641.106,0,47.3381,0,0,0,0,0,0,51.7029,0,5.96e-05,5.96e-05,5.96e-05
